timestamp,event,query_type,cache_key,latency_total_ms,latency_db_ms
1777520208.6856825,MISS,Q1,count:Providencia:conf=0.9,7502.36,7501.98
1777520221.5940597,MISS,Q1,count:Santiago Centro:conf=0.6,7898.73,7898.4
1777520233.7613757,MISS,Q1,count:Maipú:conf=0.1,7155.73,7155.3
1777520246.3581574,MISS,Q1,count:Providencia:conf=0.1,7588.56,7588.32
1777520259.439915,MISS,Q3,density:Maipú:conf=0.5,8074.22,8073.92
1777520271.3432539,MISS,Q1,count:Maipú:conf=0.9,6898.37,6898.05
1777520284.6553392,MISS,Q1,count:Santiago Centro:conf=0.8,8304.51,8304.03
1777520298.2649896,MISS,Q2,area:Las Condes:conf=0.4,8603.5,8603.16
1777520311.491945,MISS,Q1,count:Pudahuel:conf=0.9,8220.78,8220.47
1777520324.6744034,MISS,Q1,count:Las Condes:conf=0.3,8177.3,8176.54
1777520329.681356,HIT,Q1,count:Maipú:conf=0.1,0.49,0.0
1777520342.6545553,MISS,Q1,count:Maipú:conf=0.6,7967.2,7966.92
1777520355.2912996,MISS,Q1,count:Las Condes:conf=0.7,7629.53,7629.25
1777520368.9281538,MISS,Q3,density:Santiago Centro:conf=0.8,8631.55,8631.04
1777520381.6305504,MISS,Q1,count:Santiago Centro:conf=0.4,7697.45,7697.16
1777520395.1488872,MISS,Q3,density:Las Condes:conf=0.3,8512.57,8512.32
